First Name,Last Name,Email,Country,Application Date,Yoe,Seniority,Technology,Code Challenge Score,Technical Interview
Danielle,Levy,ashleysellers@gmail.com,UK,2024-11-23,6.0,Manager,Mulesoft,0,0.0
Angel,Ortega,gary31@yahoo.com,USA,2025-03-21,19.0,,Mulesoft,9,6.0
Joshua,Lopez,austingarcia@hotmail.com,Ecuador,2024-10-12,14.0,,Mulesoft,2,5.0
Jeffrey,Powers,courtney32@gmail.com,Colombia,2024-10-29,10.0,Lead,Java Backend,3,
Jill,Robinson,stokessuzanne@gmail.com,Australia,2022-04-05,7.0,Junior,QA Manual,3,3.0
Erica,Vance,millerrachel@yahoo.com,UK,2024-12-27,20.0,Manager,Social Media Community Management,2,3.0
Patricia,Ramirez,michaelcampbell@yahoo.com,Argentina,2023-07-30,6.0,Junior,React Frontend,2,
Christopher,Baird,nicholasbautista@yahoo.com,Brazil,2024-01-20,18.0,Manager,React Frontend,6,6.0
Robert,Lee,natalie15@gmail.com,Germany,2024-03-29,10.0,Junior,QA Manual,7,3.0
Anthony,Parsons,swalters@hotmail.com,USA,2025-11-19,10.0,Trainee,Social Media Community Management,9,9.0
Jeffery,Perez,michaelhernandez@gmail.com,Colombia,2025-10-29,20.0,Junior,Data Engineer,3,5.0
William,Owens,michelle54@gmail.com,France,2021-03-21,-5.0,Senior,Client Success,100,0.0
Anthony,Mclean,matthewrobinson@hotmail.com,USA,2025-10-14,7.0,Manager,Mulesoft,10,7.0
James,Rangel,campbelldanielle@gmail.com,Colombia,2023-02-06,2.0,Manager,DevOps,7,3.0
Debra,Fisher,nbaker@hotmail.com,UK,2021-03-05,20.0,Mid-Level,QA Manual,7,2.0
Amy,Alvarez,rperry@yahoo.com,India,2021-06-14,1.0,Senior,Java Backend,5,8.0
Jeffrey,Bradshaw,shawn99@gmail.com,Colombia,2025-03-04,11.0,Manager,Client Success,0,1.0
Bridget,Walls,igarrison@yahoo.com,India,2025-03-24,5.0,Manager,Development - CMS Backend,6,7.0
Lisa,Hughes,cartercaroline@hotmail.com,Mexico,2022-10-12,1.0,Mid-Level,DevOps,6,10.0
Adam,Gardner,weberwilliam@yahoo.com,USA,2025-03-05,20.0,Senior,Python Developer,4,5.0
Linda,Harris,jonathanjones@hotmail.com,Mexico,2022-07-09,0.0,Junior,Java Backend,5,5.0
Helen,Lopez,vasquezaustin@hotmail.com,Australia,2022-04-11,11.0,Junior,Client Success,8,9.0
Matthew,Wilson,robertchandler@yahoo.com,Canada,2022-04-23,11.0,Intern,Data Engineer,2,5.0
Eric,Farmer,,Colombia,2023-10-06,16.0,Trainee,React Frontend,3,1.0
Susan,Wagner,oadams@yahoo.com,Spain,2024-03-03,9.0,Senior,Sales,8,10.0
Matthew,Moore,rachel92@yahoo.com,Canada,2023-05-03,15.0,Junior,QA Manual,9,6.0
Christopher,Banks,craigparsons@hotmail.com,Brazil,2023-09-28,14.0,Lead,Social Media Community Management,1,7.0
Colin,Hoffman,dunnjonathan@hotmail.com,Brazil,2022-01-18,14.0,Senior,Python Developer,8,7.0
Melanie,Romero,alvaradojacob@gmail.com,Argentina,2024-01-03,18.0,Senior,Client Success,4,9.0
Cassandra,Pierce,bakereric@yahoo.com,India,2022-01-08,11.0,Senior,Java Backend,2,6.0
Lindsay,Johnson,tparker@yahoo.com,Mexico,2024-08-03,19.0,Intern,DevOps,7,6.0
Jessica,Tucker,,Australia,2023-05-06,2.0,Senior,Java Backend,8,4.0
Amanda,Howard,gilmoredaniel@gmail.com,France,2024-02-18,4.0,Mid-Level,Social Media Community Management,0,3.0
Teresa,Oneill,haileycox@gmail.com,Spain,2022-09-22,-5.0,,Data Engineer,4,3.0
Nicholas,Mcconnell,smithrhonda@hotmail.com,Canada,2026-01-01,6.0,Manager,Development - CMS Backend,8,1.0
Andrea,Kim,breed@hotmail.com,India,2022-02-13,20.0,Senior,Client Success,10,3.0
Maria,Cooper,jose68@gmail.com,Mexico,2024-09-24,8.0,Mid-Level,DevOps,1,6.0
Christine,Morgan,joshua78@hotmail.com,UK,2024-04-27,6.0,Mid-Level,Social Media Community Management,0,1.0
Michelle,Brady,,Argentina,2025-12-07,,Trainee,QA Manual,7,10.0
Barbara,Dunn,emcdonald@gmail.com,India,2025-07-27,,Senior,Adobe Experience Manager,5,6.0
Janet,Foster,simsshannon@hotmail.com,Australia,2021-05-22,13.0,Mid-Level,Mulesoft,1,8.0
Brandon,Evans,james68@gmail.com,USA,2024-09-28,17.0,,Adobe Experience Manager,2,
Jeremy,Miller,yrowe@hotmail.com,Colombia,2024-06-15,8.0,Intern,Data Engineer,100,2.0
Keith,Dominguez,sarah22@gmail.com,Ecuador,2023-12-25,20.0,Lead,Python Developer,0,7.0
Christopher,White,ldavidson@gmail.com,Brazil,2023-04-02,1.0,Junior,Data Engineer,1,4.0
Jesse,Taylor,uford@yahoo.com,Ecuador,2024-06-08,19.0,Intern,QA Manual,10,9.0
